review_card_id,lesson_id,course_id,grade_level,title,source,lesson_source_hash,review_card_hash,course_source,course_source_hash,lesson_course_basis_hash,review_basis_hash,card_status,queue_source_status,complete_disposition_status,complete_disposition_decision,visual_status,grade_language_status,progression_status,open_queue_rows,duplicate_status,duplicate_cluster_count,duplicate_placement_count,within_lesson_duplicate_groups,duplicate_cluster_ids,standards_status,standards_evidence_map_status,standards_dossier_count,standards_pending_edges,standards_approved_edges,standards_rejected_edges,standards_needing_exact_benchmark,standards_frameworks,standards_candidate_codes,standards_edge_ids,prior_interaction_classification,assessor_tasks
S244-RC-alg1-01-01,alg1-01-01,solving-equations,9,Two-Step Equations,content/courses/solving-equations/lessons/alg1-01-01.json,18963ab3ea4ea11700ba20c2b72341e4240ab54a2b4dbe5e2501fbc1857fe84d,e5a7a0af5070adf550d8a2e6ed5f75ef7ec0cdc902eff07db4d50f7aa67c34af,content/courses/solving-equations/course.json,3d44603465f123e7b7a8bf6e2bcaafd454af2126e0895d9a4c19f850eb176089,e612b2fd91a9d15734e0508995f8c7c3da1d5bf74715c289f195bf0d7791161f,fada98b77b5b42167f98c7b4f9a19020df657adcf3e6e3ca276493a9aa5ec3f4,CURRENT_HUMAN_DISPOSITION,SOURCE_SEAL_MATCH,CLOSED_BY_CURRENT_HUMAN_DECISION,KEEP,CLOSED_BY_CURRENT_HUMAN_DECISION:SUFFICIENT,CLOSED_BY_CURRENT_HUMAN_DECISION:FIT,NO_OPEN_HEURISTIC_FLAG,0,NO_EXACT_MCQ_DUPLICATE_CLUSTER,0,0,0,,HUMAN_REVIEW_COMPLETE_APPROVAL_AND_REJECTION_COUNTS_SHOWN,PRESENT_CANDIDATE_EVIDENCE,5,0,0,5,5,CA-CCSSM CCSS-MATH FL-BEST-MATH NY-NGLS-MATH TX-TEKS-MATH,2.OA CA-2.OA MA.2.OA NY-2.OA §111.4,4cf57f90b51fba8f9c5175e5 55b49341d515bc9568f2e4e8 5c6995451fd77af1eaaae24e 8317d4c673fb03974d1c1ced b4ea1640a573521891790a1b,KEEP,
S244-RC-alg1-01-02,alg1-01-02,solving-equations,9,Variables on Both Sides,content/courses/solving-equations/lessons/alg1-01-02.json,46234c41a7b1462d8bb920bc53367bb2a0c2aaab4626af6a1cdfa6e62c75ef2d,f1fcfd6e4f261f8b2e42421c7fc6be76e96eceb77647de423c8d7185302fe252,content/courses/solving-equations/course.json,3d44603465f123e7b7a8bf6e2bcaafd454af2126e0895d9a4c19f850eb176089,964318a2cf5ce32957fb841d751eaf17e770dbb622c917085bcaeb59621738d9,210c1257478cf6eb6c99d12c6804301297ba2f39ed868cca5d502ac3f499abd5,CURRENT_HUMAN_DISPOSITION,SOURCE_SEAL_MATCH,CLOSED_BY_CURRENT_HUMAN_DECISION,KEEP,CLOSED_BY_CURRENT_HUMAN_DECISION:SUFFICIENT,CLOSED_BY_CURRENT_HUMAN_DECISION:FIT,NO_OPEN_HEURISTIC_FLAG,0,NO_EXACT_MCQ_DUPLICATE_CLUSTER,0,0,0,,HUMAN_REVIEW_COMPLETE_APPROVAL_AND_REJECTION_COUNTS_SHOWN,PRESENT_CANDIDATE_EVIDENCE,5,0,0,5,5,CA-CCSSM CCSS-MATH FL-BEST-MATH NY-NGLS-MATH TX-TEKS-MATH,CA-HSA HSA MA.HS.HSA NY-HSA §111.39,12485fefbc35e15ed0cc7cf8 1ec2cd8b6dc07af2e137507a 4c6c7c78792d8cfe2bf26424 9d3d80db6d4bffdbc6e1b067 c10c409a40318b0903b32ec3,KEEP,
S244-RC-alg1-01-03,alg1-01-03,solving-equations,9,"Distribute, Then Solve",content/courses/solving-equations/lessons/alg1-01-03.json,28ccd2511b9bdd7c0df5413196455ad3f2983a4ab85d480336007b07262b99e6,0d49bda7076d20a116a6492ed7dc2234940b8c2aa28e08f593ebfba9d42c2dcf,content/courses/solving-equations/course.json,3d44603465f123e7b7a8bf6e2bcaafd454af2126e0895d9a4c19f850eb176089,151a3ec01f689c04e56241754c622b2827b368beb5c3458172ab33d796c87ebb,519956010ccd0d577ae206291a3fc29b54391bb54a019754e7f41948b818fa52,CURRENT_HUMAN_DISPOSITION,SOURCE_SEAL_MATCH,CLOSED_BY_CURRENT_HUMAN_DECISION,KEEP,CLOSED_BY_CURRENT_HUMAN_DECISION:SUFFICIENT,CLOSED_BY_CURRENT_HUMAN_DECISION:FIT,NO_OPEN_HEURISTIC_FLAG,0,NO_EXACT_MCQ_DUPLICATE_CLUSTER,0,0,0,,HUMAN_REVIEW_COMPLETE_APPROVAL_AND_REJECTION_COUNTS_SHOWN,PRESENT_CANDIDATE_EVIDENCE,5,0,0,5,5,CA-CCSSM CCSS-MATH FL-BEST-MATH NY-NGLS-MATH TX-TEKS-MATH,CA-HSA HSA MA.HS.HSA NY-HSA §111.39,1188d012461bcebf2bc207ef 3bfabe1ada46739525e324aa c6ce4bad6969717defc5172b e693be74e7f6c9ff963acffb faa70036359fc04e55be0c9a,KEEP,
S244-RC-alg1-02-01,alg1-02-01,solving-equations,9,Equations with One Fraction,content/courses/solving-equations/lessons/alg1-02-01.json,bfffe8369177dd77939fea3bef9691bbfed09fa9e31c6954437cad4d744fa11f,497959b206c6d9d1ba9413204f0f45af83555388aea4fcc2cecf0b762094440a,content/courses/solving-equations/course.json,3d44603465f123e7b7a8bf6e2bcaafd454af2126e0895d9a4c19f850eb176089,429db3295394741d015d23ea1e0beb7f183706820015d1c107a8fcf9120ae7d3,ebb378b92c9bfc264876675294529e7fcc2d36f921f5e11f351efc43e93eadc3,CURRENT_HUMAN_DISPOSITION,SOURCE_SEAL_MATCH,CLOSED_BY_CURRENT_HUMAN_DECISION,KEEP,CLOSED_BY_CURRENT_HUMAN_DECISION:SUFFICIENT,CLOSED_BY_CURRENT_HUMAN_DECISION:FIT,NO_OPEN_HEURISTIC_FLAG,0,NO_EXACT_MCQ_DUPLICATE_CLUSTER,0,0,0,,HUMAN_REVIEW_COMPLETE_APPROVAL_AND_REJECTION_COUNTS_SHOWN,PRESENT_CANDIDATE_EVIDENCE,5,0,0,5,5,CA-CCSSM CCSS-MATH FL-BEST-MATH NY-NGLS-MATH TX-TEKS-MATH,CA-HSA HSA MA.HS.HSA NY-HSA §111.39,6620a6fbdf6ecd1e3aef3f5c 82232bcd32cab4ef34065b38 ac7ccc1403246cacb1354180 ceb187dd94e6973e0fc23290 e6f7cc206e34037f69e0b2c4,KEEP,
S244-RC-alg1-02-02,alg1-02-02,solving-equations,9,Clear with the LCD,content/courses/solving-equations/lessons/alg1-02-02.json,c28a371047167cc137a0d79082397d5e4e45ab9c9b25132a7d59aafa67dbd253,351f042321bfcb3350527a29330c0d375eb89ea977baef25e7a36dc807204e86,content/courses/solving-equations/course.json,3d44603465f123e7b7a8bf6e2bcaafd454af2126e0895d9a4c19f850eb176089,aad3e8ae83f6f321fe56312039e316b6ca2fd028cf0f4dd8a36d553d817c3869,3f2ccb75bd7568d8d1fefcd6dfa5370da8541f3f7a5bb315187d2d1b8a029d10,CURRENT_HUMAN_DISPOSITION,SOURCE_SEAL_MATCH,CLOSED_BY_CURRENT_HUMAN_DECISION,KEEP,CLOSED_BY_CURRENT_HUMAN_DECISION:SUFFICIENT,CLOSED_BY_CURRENT_HUMAN_DECISION:FIT,NO_OPEN_HEURISTIC_FLAG,0,NO_EXACT_MCQ_DUPLICATE_CLUSTER,0,0,0,,HUMAN_REVIEW_COMPLETE_APPROVAL_AND_REJECTION_COUNTS_SHOWN,PRESENT_CANDIDATE_EVIDENCE,5,0,0,5,5,CA-CCSSM CCSS-MATH FL-BEST-MATH NY-NGLS-MATH TX-TEKS-MATH,CA-HSA HSA MA.HS.HSA NY-HSA §111.39,0c89504ddea34cf463ac0d5e 33a84fc21166d56592c8e420 8dfb85685a753f807764b775 a88eb828dff0ad76b0b1b90b b5e5ca52f4d4fb0ffcc0463d,KEEP,
S244-RC-alg1-02-03,alg1-02-03,solving-equations,9,Decimal Equations,content/courses/solving-equations/lessons/alg1-02-03.json,6d7aedd390c19ecc7c40262c22254cb1cb49788bad8de5e716704c9ea0a5e4b0,c0f356e72df407e22b8a52c008a266e41e03b992dba112e6631e8a789ac70b13,content/courses/solving-equations/course.json,3d44603465f123e7b7a8bf6e2bcaafd454af2126e0895d9a4c19f850eb176089,532855f361c3efa207096462fd76009899f72437eeeeefa70d8f2012c3233db6,3698f9deb478488b30fbf62bba036024fd5f9905191f1d93c2fdea6ba6112261,CURRENT_HUMAN_DISPOSITION,SOURCE_SEAL_MATCH,CLOSED_BY_CURRENT_HUMAN_DECISION,KEEP,CLOSED_BY_CURRENT_HUMAN_DECISION:SUFFICIENT,CLOSED_BY_CURRENT_HUMAN_DECISION:FIT,NO_OPEN_HEURISTIC_FLAG,0,NO_EXACT_MCQ_DUPLICATE_CLUSTER,0,0,0,,HUMAN_REVIEW_COMPLETE_APPROVAL_AND_REJECTION_COUNTS_SHOWN,PRESENT_CANDIDATE_EVIDENCE,5,0,0,5,5,CA-CCSSM CCSS-MATH FL-BEST-MATH NY-NGLS-MATH TX-TEKS-MATH,CA-HSA HSA MA.HS.HSA NY-HSA §111.39,5a958aa6e20f6e16c2c801f4 785de247b7e14a232dcee6c5 9344d26f93830fa8d6035db2 a0df6dd838c299988d288afe b32f3b810b6dce0931911bf6,KEEP,
S244-RC-alg1-03-01,alg1-03-01,solving-equations,9,Solving for a Variable,content/courses/solving-equations/lessons/alg1-03-01.json,140ade03a749e1d449d9a52b162785bc71a30c77a2b925f32d0c84791718cbb0,83d2c19cfa9023f64fa6871675bc202669ae73f5de298fde9d267449a0c280bc,content/courses/solving-equations/course.json,3d44603465f123e7b7a8bf6e2bcaafd454af2126e0895d9a4c19f850eb176089,bf1b0838b3cb51d979f1f40743dc340a15f271bef509c6a83da6f1d150387333,909a6d69c63ba519ff43c586a8fb016ee5521470b15139e71db37cf4718037bb,CURRENT_HUMAN_DISPOSITION,SOURCE_SEAL_MATCH,CLOSED_BY_CURRENT_HUMAN_DECISION,KEEP,CLOSED_BY_CURRENT_HUMAN_DECISION:SUFFICIENT,CLOSED_BY_CURRENT_HUMAN_DECISION:FIT,NO_OPEN_HEURISTIC_FLAG,0,NO_EXACT_MCQ_DUPLICATE_CLUSTER,0,0,0,,HUMAN_REVIEW_COMPLETE_APPROVAL_AND_REJECTION_COUNTS_SHOWN,PRESENT_CANDIDATE_EVIDENCE,5,0,0,5,5,CA-CCSSM CCSS-MATH FL-BEST-MATH NY-NGLS-MATH TX-TEKS-MATH,CA-HSA HSA MA.HS.HSA NY-HSA §111.39,487b1b7bbecf10d20491415f 895ae824e363905621d4924a 9e4ba1b9fdb15ec665415a69 b8c6b5b369988321aa640894 fc83986169160453087af622,KEEP,
S244-RC-alg1-03-02,alg1-03-02,solving-equations,9,Rearranging with Fractions,content/courses/solving-equations/lessons/alg1-03-02.json,51614f612e9bd758de9b24e8e4664e8305ae9b59634bfe7f0faee6f5b387d2bb,9662e4c3d235a39076ad34df627e658224c94509a6e20d50278a6336a0146e68,content/courses/solving-equations/course.json,3d44603465f123e7b7a8bf6e2bcaafd454af2126e0895d9a4c19f850eb176089,3bef777e8c06d9444a1708510d0d92b77d53d8102a6bb13e207833802f252e91,9db51f900c4a9080f79040627db97c64149456f2e9bf0240f6d0733f52dfba90,CURRENT_HUMAN_DISPOSITION,SOURCE_SEAL_MATCH,CLOSED_BY_CURRENT_HUMAN_DECISION,KEEP,CLOSED_BY_CURRENT_HUMAN_DECISION:SUFFICIENT,CLOSED_BY_CURRENT_HUMAN_DECISION:FIT,NO_OPEN_HEURISTIC_FLAG,0,NO_EXACT_MCQ_DUPLICATE_CLUSTER,0,0,0,,HUMAN_REVIEW_COMPLETE_APPROVAL_AND_REJECTION_COUNTS_SHOWN,PRESENT_CANDIDATE_EVIDENCE,5,0,0,5,5,CA-CCSSM CCSS-MATH FL-BEST-MATH NY-NGLS-MATH TX-TEKS-MATH,CA-HSA HSA MA.HS.HSA NY-HSA §111.39,18b38f1d2e9adeebfb9d4f31 3088bcedf235355a87fc4374 8ab8ca224340646893e07b2a afa001c5e87a45c60b0fc640 e22a0864907e8cc1022ef39a,KEEP,
S244-RC-alg1-03-03,alg1-03-03,solving-equations,9,Multi-Step Literal Equations,content/courses/solving-equations/lessons/alg1-03-03.json,cc0e7a3e3632b8fb76298840395791a167bf62c61dbffdb3298027e1fb39be5b,182eff2f92c570711464abc112bd60b9387361a770ce8f1b18dc020fe2869f5c,content/courses/solving-equations/course.json,3d44603465f123e7b7a8bf6e2bcaafd454af2126e0895d9a4c19f850eb176089,0bda717763446f8234978bf36fc6d7f7b21d7be2a42a98e48196952d65bb7df6,271b591dba5e0100a081fcfe409af728953b930bf5ec32cd8b945950ec54ae0b,CURRENT_HUMAN_DISPOSITION,SOURCE_SEAL_MATCH,CLOSED_BY_CURRENT_HUMAN_DECISION,KEEP,CLOSED_BY_CURRENT_HUMAN_DECISION:SUFFICIENT,CLOSED_BY_CURRENT_HUMAN_DECISION:FIT,NO_OPEN_HEURISTIC_FLAG,0,NO_EXACT_MCQ_DUPLICATE_CLUSTER,0,0,0,,HUMAN_REVIEW_COMPLETE_APPROVAL_AND_REJECTION_COUNTS_SHOWN,PRESENT_CANDIDATE_EVIDENCE,5,0,0,5,5,CA-CCSSM CCSS-MATH FL-BEST-MATH NY-NGLS-MATH TX-TEKS-MATH,CA-HSA HSA MA.HS.HSA NY-HSA §111.39,b48b7b5db869264b0831a0a1 c0297e58791e5ffb626e52ff c7ab1ae693884fa8b4c4ead3 ea88adc3b61c20ae3d82f49d ff7a792e1b1a968c5e12353d,KEEP,
S244-RC-alg1-04-01,alg1-04-01,solving-equations,9,Solving Inequalities,content/courses/solving-equations/lessons/alg1-04-01.json,f487bc7d5fcf9d9cda44029cdb96f16a92250e5d0e8e25433823e16bf91ea990,5959b78e214d77fe91ee49ae671dec293214ac27a26d02e51f16e2d1d7ef86aa,content/courses/solving-equations/course.json,3d44603465f123e7b7a8bf6e2bcaafd454af2126e0895d9a4c19f850eb176089,bba8a2464c1fae699137d051dc01e49925919ef85e0063e902bce95460e062b3,70916779f5b60a64ad4846522c21500e79eb7c637194a2018f217c11b7f69495,CURRENT_HUMAN_DISPOSITION,SOURCE_SEAL_MATCH,CLOSED_BY_CURRENT_HUMAN_DECISION,KEEP,CLOSED_BY_CURRENT_HUMAN_DECISION:SUFFICIENT,CLOSED_BY_CURRENT_HUMAN_DECISION:FIT,NO_OPEN_HEURISTIC_FLAG,0,NO_EXACT_MCQ_DUPLICATE_CLUSTER,0,0,0,,HUMAN_REVIEW_COMPLETE_APPROVAL_AND_REJECTION_COUNTS_SHOWN,PRESENT_CANDIDATE_EVIDENCE,5,0,0,5,5,CA-CCSSM CCSS-MATH FL-BEST-MATH NY-NGLS-MATH TX-TEKS-MATH,CA-HSA HSA MA.HS.HSA NY-HSA §111.39,2692f3066e470a8eb480d42b 339e49587c9faf8d28a7355e 8ac4e758afccdab80a2767cc d2a24f063dd863d2da28cc8a f7d682637b38749136ad6b4e,KEEP,
